,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN
0,10,5,0,7.3,4.16,67
1,20,2,0,4.33,4.58,67
2,30,0,0,7.61,2.46,67
3,40,1,0,8.42,3.76,67
4,50,1,0,6.8,3.28,67
5,60,1,0,7.11,2.05,70
6,70,0,0,8.36,1.85,70
7,80,1,0,7.05,3.12,70
8,90,0,0,9.7,3.21,70
9,100,0,0,8.2,3.66,70
10,110,1,0,6.74,2.84,71
11,120,0,0,8.18,3.0,71
12,130,1,0,8.58,3.93,71
13,140,2,0,6.24,4.08,71
14,150,0,0,8.52,3.1,71
15,160,0,0,8.97,3.23,72
16,170,2,0,8.2,4.15,72
17,180,2,0,8.39,4.61,72
18,190,0,0,7.53,3.08,72
19,200,1,0,3.76,2.65,72
20,210,1,0,3.63,2.7,71
21,220,1,0,3.26,2.66,71
22,230,0,0,6.26,3.45,71
23,240,2,0,8.73,4.24,71
24,250,0,0,6.69,2.17,71
25,260,1,0,4.91,3.02,73
26,270,1,0,10.25,3.54,73
27,280,0,0,6.74,3.27,73
28,290,0,0,8.64,3.82,73
29,300,0,0,6.68,3.02,73
30,310,1,0,6.36,4.13,68
31,320,0,0,9.74,3.08,68
32,330,1,0,5.09,6.09,68
33,340,1,0,8.39,3.59,68
34,350,0,0,11.5,3.26,68
35,360,1,0,5.17,4.58,71
36,370,0,0,7.02,2.85,71
37,380,0,0,4.81,2.19,71
38,390,0,0,5.11,2.38,71
39,400,1,0,6.8,3.07,71
40,410,0,0,4.9,2.6,73
41,420,1,0,4.95,2.67,73
42,430,0,0,4.8,2.08,73
43,440,0,0,4.61,2.13,73
44,450,0,0,8.62,2.65,73
45,460,1,0,6.22,3.29,69
46,470,0,0,6.7,2.63,69
47,480,2,0,5.43,3.64,69
48,490,2,0,5.99,3.64,69
49,500,1,0,5.63,3.65,69
50,510,1,0,5.86,2.93,69
51,520,0,0,6.33,1.95,69
52,530,0,0,5.51,1.84,69
53,540,0,0,4.32,2.51,69
54,550,0,0,7.23,1.76,69
55,560,1,0,7.52,3.38,71
56,570,2,0,7.79,3.18,71
57,580,1,0,7.4,2.23,71
58,590,2,0,7.97,3.54,71
59,10,0,0,4.8,2.44,71
60,20,3,0,6.19,2.86,71
61,30,1,0,6.79,4.73,71
62,40,0,0,8.17,3.42,71
63,50,1,0,6.96,4.09,71
64,60,4,0,6.79,3.31,71
65,70,1,0,6.25,4.72,70
66,80,0,0,9.21,4.09,70
67,90,1,0,6.49,3.26,70
68,100,2,0,8.06,2.78,70
69,110,1,0,8.17,4.76,70
70,120,1,0,8.11,2.16,71
71,130,2,0,8.37,2.8,71
72,140,0,0,8.7,2.52,71
73,150,1,0,10.04,3.24,71
74,160,1,0,4.71,2.43,71
75,170,0,0,4.72,2.47,69
76,180,0,0,5.71,2.17,69
77,190,1,0,4.68,2.91,69
78,200,2,0,5.04,2.62,69
79,210,0,0,4.99,1.93,69
80,220,1,0,7.33,3.9,69
81,230,6,0,7.7,5.43,69
82,240,0,0,8.7,3.88,69
83,250,2,0,5.93,3.16,69
84,260,0,0,3.02,2.18,69
85,270,2,0,4.19,3.11,70
86,280,3,0,5.5,2.99,70
87,290,2,0,6.48,2.67,70
88,300,2,0,5.81,2.85,70
89,310,4,0,5.59,2.65,70
90,320,2,0,6.18,3.38,70
91,330,8,0,6.17,3.62,70
92,340,8,0,4.84,4.42,70
93,350,2,0,10.19,2.95,70
94,360,1,0,6.94,2.83,70
95,370,1,0,5.73,7.01,70
96,380,2,0,7.93,3.59,70
97,390,3,0,5.25,2.96,70
98,400,1,0,7.16,2.95,70
99,410,1,0,7.32,3.25,70
100,420,3,0,9.07,4.4,72
101,430,4,0,4.78,3.45,72
102,440,1,0,4.5,3.02,72
103,450,2,0,6.57,4.01,72
104,460,1,0,3.73,3.28,72
105,470,0,0,6.19,3.08,72
106,480,3,0,5.39,4.13,72
107,490,4,0,5.49,4.35,72
108,500,0,0,5.14,2.45,72
109,510,2,0,4.13,4.08,72
110,520,7,0,5.19,4.58,73
111,530,3,0,7.43,3.54,73
112,540,6,0,6.77,5.5,73
113,550,5,0,6.67,4.24,73
114,560,1,0,7.45,3.19,73
115,570,1,0,7.04,3.47,70
116,580,5,0,6.47,4.67,70
117,590,4,0,6.58,4.09,70
118,600,9,0,4.79,4.73,70
119,610,2,0,7.07,2.86,70
120,10,3,0,3.43,4.24,72
121,20,6,0,3.24,3.26,72
122,30,9,0,3.45,2.8,72
123,40,1,0,3.2,2.45,72
124,50,2,0,4.51,3.61,72
125,60,0,0,5.72,2.02,68
126,70,0,0,8.05,2.17,68
127,80,0,0,8.69,2.77,68
128,90,0,0,7.94,2.79,68
129,100,6,0,6.3,5.56,68
130,110,15,0,5.24,4.84,73
131,120,10,0,6.8,4.47,73
132,130,2,0,10.1,3.38,73
133,140,12,0,9.38,5.46,73
134,150,15,0,6.57,3.78,73
135,160,0,0,8.45,3.49,71
136,170,1,0,6.94,3.06,71
137,180,1,0,6.7,3.4,71
138,190,1,0,4.25,3.83,71
139,200,7,0,8.31,5.76,71
140,210,7,0,4.97,3.14,70
141,220,8,0,6.38,2.58,70
142,230,3,0,6.23,2.93,70
143,240,2,0,5.66,3.29,70
144,250,1,0,8.7,2.79,70
145,260,0,0,10.08,3.05,69
146,270,3,0,7.89,2.54,69
147,280,2,0,6.07,2.48,69
148,290,4,0,4.93,3.96,69
149,300,1,0,7.03,3.03,69
150,310,5,0,9.36,2.4,74
151,320,1,0,7.48,3.53,74
152,330,0,0,2.75,2.87,74
153,340,1,0,3.4,4.11,74
154,350,4,0,3.81,3.37,74
155,360,2,0,3.98,2.91,73
156,370,1,0,3.95,3.81,73
157,380,2,0,8.35,4.26,73
158,390,0,0,5.4,4.22,73
159,400,6,0,6.32,3.25,73
160,410,4,0,4.75,4.51,72
161,420,3,0,6.74,5.42,72
162,430,1,0,5.73,3.91,72
163,440,2,0,4.67,3.93,72
164,450,3,0,5.89,4.86,72
165,460,2,0,3.46,3.87,67
166,470,2,0,2.91,2.54,67
167,480,0,0,9.34,5.51,67
168,490,1,0,6.87,2.56,67
169,500,5,0,7.34,3.04,67
170,510,13,0,7.01,4.56,71
171,520,1,0,3.8,4.16,71
172,530,10,0,3.46,3.84,71
173,540,7,0,3.69,3.78,73
174,550,5,0,9.86,3.8,68
175,560,1,0,7.91,2.54,65
176,570,1,0,4.05,3.21,65
177,580,1,0,3.41,2.56,70
178,590,6,0,4.12,4.44,70
179,600,15,0,4.95,1.87,69
180,610,4,0,4.08,1.88,66
