,Time_Second,Blink_Count,Yawn_Count,Gaze_X,Gaze_Y,BPM RAYAN,label
0,10,4,0,3.61,2.13,79,2
1,20,7,0,4.51,2.29,79,2
2,30,3,0,3.45,1.74,79,2
3,40,4,0,3.54,1.84,79,2
4,50,2,0,4.09,2.24,79,2
5,60,5,0,2.61,1.56,81,2
6,70,3,0,2.71,1.55,81,2
7,80,3,0,3.2,1.63,81,2
8,90,4,0,4.53,2.26,81,2
9,100,3,0,6.47,6.52,81,2
10,110,4,0,8.29,7.35,80,2
11,120,6,0,4.98,3.01,80,2
12,130,5,0,3.69,2.19,80,2
13,140,3,0,3.0,1.79,80,2
14,150,2,0,3.71,2.08,80,2
15,160,7,0,4.11,2.2,78,2
16,170,0,0,3.61,1.82,78,2
17,180,4,0,3.35,2.09,78,2
18,190,6,0,3.02,1.79,78,2
19,200,5,0,4.1,2.38,78,2
20,210,1,0,4.23,2.6,79,2
21,220,3,0,3.09,1.79,79,2
22,230,1,0,3.37,1.85,79,2
23,240,4,0,3.02,1.79,79,2
24,250,4,0,6.5,6.35,79,2
25,260,2,0,6.9,7.1,79,2
26,270,5,0,6.75,3.97,79,2
27,280,1,0,4.56,1.98,79,2
28,290,2,0,6.27,3.17,79,2
29,300,3,0,3.15,2.1,79,2
30,310,3,0,3.94,2.25,80,2
31,320,4,0,6.9,2.63,80,2
32,330,2,0,4.29,2.14,80,2
33,340,3,0,3.49,1.85,80,2
34,350,1,0,3.42,2.25,80,2
35,360,1,0,3.77,2.08,80,2
36,370,7,0,6.92,3.3,80,2
37,380,3,0,5.67,2.65,80,2
38,390,2,0,4.88,2.06,80,2
39,400,3,0,7.92,6.27,80,2
40,410,4,0,5.53,6.39,78,2
41,420,1,0,6.54,7.24,78,2
42,430,4,0,7.36,9.27,78,2
43,440,4,0,10.47,8.71,78,2
44,450,3,0,5.54,2.43,78,2
45,460,5,0,6.32,3.26,81,2
46,470,1,0,5.95,3.16,81,2
47,480,7,0,5.92,3.02,81,2
48,490,3,0,9.04,7.59,81,2
49,500,2,0,9.56,9.2,81,2
50,510,3,0,7.05,5.09,78,2
51,520,3,0,5.07,3.0,78,2
52,530,6,0,5.36,3.74,78,2
53,540,5,0,4.21,2.28,78,2
54,550,2,0,4.26,2.47,78,2
55,560,6,0,6.17,3.12,81,2
56,570,4,0,5.41,2.65,81,2
57,580,5,0,5.9,2.35,81,2
58,590,6,0,4.07,2.39,81,2
59,600,6,0,3.4,2.19,81,2
60,10,21,0,6.26,4.57,77,2
61,20,9,0,3.91,2.37,77,2
62,30,3,0,4.6,2.9,77,2
63,40,39,0,5.11,2.78,77,2
64,50,6,0,6.96,7.02,77,2
65,60,10,0,5.05,2.42,80,2
66,70,12,0,4.13,2.19,80,2
67,80,23,0,4.49,3.33,80,2
68,90,3,0,4.69,2.9,80,2
69,100,3,0,4.8,2.48,80,2
70,110,2,0,6.35,3.18,80,2
71,120,24,0,6.5,6.69,80,2
72,130,5,0,6.09,2.72,80,2
73,140,4,0,4.67,4.29,80,2
74,150,10,0,3.86,1.95,80,2
75,160,11,0,4.88,2.34,80,2
76,170,6,0,5.35,2.29,80,2
77,180,3,0,3.85,1.99,80,2
78,190,5,0,3.75,2.0,80,2
79,200,11,0,4.79,2.43,80,2
80,210,11,0,3.71,2.09,82,2
81,220,5,0,3.28,2.47,82,2
82,230,4,0,4.96,2.28,82,2
83,240,7,0,3.16,2.06,82,2
84,250,4,0,6.23,6.71,82,2
85,260,6,0,6.01,5.57,82,2
86,270,1,0,3.92,2.17,82,2
87,280,1,0,3.07,1.96,82,2
88,290,4,0,6.46,4.68,82,2
89,300,3,0,4.21,2.18,82,2
90,310,13,0,4.72,2.49,80,2
91,320,11,0,4.68,2.5,80,2
92,330,20,0,4.3,3.22,80,2
93,340,11,0,5.17,3.17,80,2
94,350,18,0,4.68,2.56,80,2
95,360,3,0,4.51,1.83,81,2
96,370,5,0,4.82,2.67,81,2
97,380,3,0,3.78,2.35,81,2
98,390,2,0,4.49,2.58,81,2
99,400,5,0,4.91,2.84,81,2
100,410,4,0,3.49,2.4,82,2
101,420,2,0,4.05,2.15,82,2
102,430,2,0,3.64,2.57,82,2
103,440,3,0,5.61,3.08,82,2
104,450,12,0,5.21,7.71,82,2
105,460,12,0,8.67,5.16,80,2
106,470,20,0,3.66,1.94,80,2
107,480,23,0,3.76,2.21,80,2
108,490,10,0,3.31,1.95,80,2
109,500,12,0,3.71,2.64,80,2
110,510,4,0,4.12,2.16,79,2
111,520,6,0,4.09,2.24,79,2
112,530,11,0,3.77,1.85,79,2
113,540,11,0,5.55,2.99,79,2
114,550,5,0,4.74,2.37,79,2
115,560,5,0,3.42,2.22,80,2
116,570,13,0,4.25,2.19,80,2
117,580,5,0,3.58,2.04,80,2
118,590,2,0,2.95,1.8,80,2
119,10,10,0,6.37,8.46,80,2
120,20,2,0,8.59,8.5,81,2
121,30,3,0,7.56,3.21,81,2
122,40,10,0,4.8,6.32,81,2
123,50,1,0,5.93,7.57,81,2
124,60,8,0,4.74,7.12,81,2
125,70,3,0,4.47,6.84,81,2
126,80,2,0,5.05,6.98,81,2
127,90,2,0,4.56,6.53,81,2
128,100,2,0,4.25,7.09,81,2
129,110,0,0,4.74,2.48,81,2
130,120,22,0,5.64,4.74,79,2
131,130,0,0,4.83,5.61,79,2
132,140,9,0,6.74,8.45,79,2
133,150,3,0,6.63,9.04,79,2
134,160,19,0,7.67,8.13,79,2
135,170,8,0,5.45,6.28,80,2
136,180,5,0,5.56,5.82,80,2
137,190,2,0,5.62,4.85,80,2
138,200,7,0,5.14,7.55,80,2
139,210,3,0,5.54,7.04,80,2
140,220,1,0,5.77,4.04,81,2
141,230,7,0,5.87,7.46,81,2
142,240,4,0,4.5,2.8,81,2
143,250,8,0,6.31,2.82,81,2
144,260,5,0,5.93,2.64,81,2
145,270,3,0,4.77,4.56,80,2
146,280,9,0,6.09,5.14,80,2
147,290,16,0,6.92,5.42,80,2
148,300,26,0,6.96,9.08,80,2
149,310,14,0,7.86,6.14,80,2
150,320,13,0,8.91,7.84,81,2
151,330,8,0,6.3,9.71,81,2
152,340,14,0,5.03,6.56,81,2
153,350,6,0,6.23,8.04,81,2
154,360,3,0,7.07,7.98,81,2
155,370,3,0,8.15,8.48,79,2
156,380,6,0,6.93,5.1,79,2
157,390,7,0,7.07,4.73,79,2
158,400,1,0,7.97,3.94,79,2
159,410,4,0,4.35,6.14,79,2
160,420,2,0,3.99,5.77,79,2
161,430,5,0,6.22,5.11,79,2
162,440,1,0,4.54,5.65,79,2
163,450,4,0,4.57,3.58,79,2
164,460,1,0,4.7,4.49,79,2
165,470,4,0,6.45,8.64,79,2
166,480,5,0,5.84,7.15,79,2
167,490,6,0,6.06,5.9,79,2
168,500,6,0,7.31,6.06,79,2
169,510,6,0,3.67,3.12,79,2
170,520,3,0,6.05,5.2,80,2
171,530,3,0,4.26,8.66,80,2
172,540,4,0,5.02,8.63,80,2
173,550,5,0,7.64,3.75,80,2
174,560,7,0,8.95,2.44,80,2
175,570,4,0,6.77,4.48,81,2
176,580,3,0,5.88,5.31,81,2
177,590,5,0,6.63,9.12,81,2
